path,methods,module,params,files
"/api/assets/list/video","GET","assets","limit|offset|team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/assets/list/video/count","GET","assets","team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/assets/list/video/used","GET","assets","team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/assets/psd/file","","assets","layout|psd_file|text2image","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/assets/tagsset","POST","assets","tags_set","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js"
"/api/assets/type/image/tag","DELETE","assets","team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/assets/type/image/tag/assets","GET","assets","limit|offset|tag|team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/assets/type/image/tag/rename","POST","assets","new_tag|old_tag|team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/assets/type/image/tags","DELETE|POST|GET","assets","team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/assets/type/image/tagsorder","GET|POST","assets","order|team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/assets/type/image/untags","GET","assets","limit|offset|tag|team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
