module,path,methods,verified,probe_status,params,query
"help","/api/help/add","POST","bundle","","doc_type|key|overwrite|recursive",""
"help","/api/help/check","DELETE","bundle","","",""
"help","/api/help/recommended","DELETE|GET|POST","live","","type","type"
"help","/api/help/search","GET","probe","400","key|limit|nostat|offset|type",""
"home_slogans","/api/home_slogans","GET","live","200","",""
"htmlCode","/api/htmlCode/verify","POST","bundle","","html",""
"invitation","/api/invitation","GET","probe","404","",""
"invoices","/api/invoices","DELETE|GET|POST|PUT","probe","200","include|limit|offset|orderBy",""
"invoices","/api/invoices/available","GET","live","200","include","include"
"invoices","/api/invoices/count","GET","live","200","limit|offset|orderBy",""
"invoices","/api/invoices/lastinvoice","GET","live","200","",""
"invoices","/api/invoices/list","GET","probe","404","limit|offset|orderBy",""
"invoices","/api/invoices/require","POST","bundle","","",""
"invoices","/api/invoices/revoke","DELETE","bundle","","",""
"issues","/api/issues","POST","bundle","","report_data",""
"login_history","/api/login_history","GET","probe","200","",""
"logout","/auth/logout","GET","bundle","","",""
"me","/auth/me","GET","probe","200","",""
"messages","/api/messages","GET|POST","live","200","limit|page|state","limit|page|state"
"messages","/api/messages/mute_be_saved_to","POST","bundle","","",""
"messages","/api/messages/mute_invitation","POST","bundle","","",""
"messages","/api/messages/mute_new_show","GET","probe","404","",""
"messages","/api/messages/setting/mute_be_saved_to","POST","bundle","","",""
"messages","/api/messages/setting/mute_invitation","POST","bundle","","",""
"messages","/api/messages/setting/mute_new_show","POST","bundle","","",""
"messages","/api/messages/settings","GET","probe","200","",""
"messages","/api/messages/settings/","GET","live","","",""
"messages","/api/messages/status","GET","live","200","",""
"mobile_wechat","/auth/mobile_wechat","","probe","302","",""
"nlp","/api/nlp/extract_headings","POST","bundle","","textElements",""
"nlp","/api/nlp/extract_headings2","GET","probe","404","",""
"nlp","/api/nlp/extract_headings2/tasks/{param}","GET","bundle","","",""
"nlp","/api/nlp/extract_headings2/word/{param}","","bundle","","",""
"notify","/api/notify","GET","live","200","",""
"orders","/api/orders","GET|POST","live","200","limit|offset","limit|offset"
"orders","/api/orders/for/create_order","GET","probe","200","",""
"orders","/api/orders/for/enterprise_team","GET|POST","probe","404","amount|day_count|member_count",""
"orders","/api/orders/for/order_pay","POST","bundle","","order_id|pay_type",""
"orders","/api/orders/for/show_goods","POST","bundle","","show_goods_id|special_offer|use_wallet",""
"orders","/api/orders/for/special_offer","GET","probe","200","",""
"orders","/api/orders/for/team_wallet","GET","probe","404","limit|offset",""
"orders","/api/orders/for/team_wallet_detail","GET","probe","404","offset",""
"orders","/api/orders/for/team_wallet_transfer","POST","bundle","","member_id|team_id|transferAmount",""
"orders","/api/orders/for/tpl_show_goods","POST","bundle","","show_goods_id",""
"orders","/api/orders/for/wallet_recharge","POST","bundle","","amount|offset|pay_type|team_id",""
"orders","/api/orders/for/wallet_redeem","POST","bundle","","redeemCode",""
"orders","/api/orders/for/wallet_transfer","POST","bundle","","area_code|limit|transferAmount|transferTargetCondition",""
"orders","/api/orders/for/withdraw_cash","POST","bundle","","amount",""
"orders","/api/orders/tariff/for/enterprise_team","GET","probe","404","upgrade_type",""
"orders","/api/orders/tariff/for/level/upgrading","GET","live","200","email|team_id",""
